Heure,Temperature (°C),Pression (hPa),Humidité (%),Vitesse du vent (m/s)
15:50:00,29.34,1019.43,34.65,10.28
16:00:00,15.07,1005.47,79.51,13.61
16:10:00,22.72,1007.07,38.39,8.24
16:20:00,20.94,1009.34,62.87,6.72
16:30:00,26.8,1008.42,62.43,3.39
16:40:00,29.23,994.12,36.73,11.6
16:50:00,19.69,1020.77,44.99,6.59
17:00:00,21.06,990.39,42.62,12.84
17:10:00,28.54,992.28,45.22,10.65
17:20:00,26.37,991.71,61.81,14.17
17:30:00,22.16,995.02,39.31,1.88
17:40:00,17.13,996.66,37.77,3.36
17:50:00,20.05,1023.93,46.99,10.17
18:00:00,25.47,992.34,71.37,14.93
18:10:00,15.3,999.15,43.17,8.82
18:20:00,28.62,997.01,52.34,6.33
18:30:00,26.52,1020.17,65.59,4.86
18:40:00,23.33,1019.96,74.03,14.66
18:50:00,15.81,997.2,40.85,11.38
19:00:00,20.24,990.37,57.06,11.77
19:10:00,26.16,992.46,72.82,12.73
19:20:00,24.55,994.48,44.56,10.69
19:30:00,26.36,1022.52,51.61,6.67
19:40:00,20.62,991.31,78.9,2.47
19:50:00,24.77,1003.98,48.04,5.75
20:00:00,20.34,991.74,57.2,2.9
20:10:00,29.63,1009.88,50.53,5.9
20:20:00,15.95,1005.89,38.8,14.1
20:30:00,23.38,1001.51,31.27,13.65
20:40:00,25.88,991.57,64.39,12.71
20:50:00,21.09,1006.64,44.98,3.73
21:00:00,19.26,1017.41,32.08,2.9
21:10:00,19.0,1017.17,37.51,11.41
21:20:00,28.19,1006.05,73.14,6.74
21:30:00,25.24,1000.69,63.66,6.9
21:40:00,28.29,1000.04,71.53,4.35
21:50:00,29.13,1021.53,47.78,9.79
22:00:00,19.06,994.64,64.07,10.84
22:10:00,22.5,1019.71,37.67,2.53
22:20:00,24.34,990.44,49.42,8.82
22:30:00,28.98,1022.62,73.96,1.85
22:40:00,19.71,997.54,63.05,13.88
22:50:00,18.8,1010.48,58.68,13.77
23:00:00,17.74,990.82,41.9,0.58
23:10:00,28.92,1024.12,44.46,10.49
23:20:00,27.05,992.67,48.7,0.92
23:30:00,15.35,1012.15,58.14,0.04
23:40:00,15.17,1019.06,49.75,1.02
23:50:00,18.17,997.58,48.72,9.3
